,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
74,https://www.kisskissbankbank.com/en/projects/librairies-mona-lisait,"Mona Book Box, un Noël solidaire ✊ avec les librairies Mona lisait.",Successful,109,"€3,270","Out of €3,000",12/26/2020,44,Local Development,jpg,10,10.0,500.0,1,12,52,https://www.kisskissbankbank.com/en/users/david-peyre,fr,Vous ne pouvez pas venir aux livres ? Les livres viennent à vous !
75,https://www.kisskissbankbank.com/en/projects/flying-spirit,Flying Spirit - Le Film,Successful,104,"€10,390","Out of €10,000",12/26/2020,126,"Indie,Independent media",png,13,10.0,1500.0,3,32,130,https://www.kisskissbankbank.com/en/users/maxence-cavalade,fr,"Participez à la création d'un documentaire ENERGIQUE, HUMAIN et INSPIRANT, à la poursuite d’un record du monde !"
76,https://www.kisskissbankbank.com/en/projects/dress-me-slow-ly-un-dressing-durable-pour-une-mode-ethique,"Dress me Slow'ly, un dressing connecté et durable pour une mode éthique !",Successful,101,"€5,062","Out of €5,000",12/26/2020,33,"Recycling,Fair Trade,Change your life",png,8,10.0,500.0,1,8,42,https://www.kisskissbankbank.com/en/users/yasmine-el-abbassi,fr,Une application pour rendre son dressing éco-responsable et durable !
77,https://www.kisskissbankbank.com/en/projects/les-liens-paris,Les Liens Paris : Un espace de mieux-être pour vous !,Successful,100,"€3,000","Out of €3,000",12/26/2020,42,"Local Development,French manufacturing,Change your life",jpg,9,5.0,1000.0,0,5,43,https://www.kisskissbankbank.com/en/users/les-deviations,fr,"Pour qu'on puisse continuer à vous accompagner dans cette période mouvementée, aidez-nous !"
78,https://www.kisskissbankbank.com/en/projects/yasminpigeons1step,Yasmin Pigeon's 1st EP,Successful,156,"€7,511","Out of €4,800",12/26/2020,177,"Indie,French manufacturing",jpg,9,20.0,1000.0,2,39,179,https://www.kisskissbankbank.com/en/users/yasmin-pigeon,en,"a fake fairy tale & a true story
"
79,https://www.kisskissbankbank.com/en/projects/auberge-des-3-hameaux,Auberge des 3 hameaux,Successful,102,"€5,080","Out of €5,000",12/25/2020,32,"Local Development,Change your life",jpg,8,10.0,300.0,0,7,33,https://www.kisskissbankbank.com/en/users/soazig-seguis,fr,"Faisons revivre l'auberge de Choisel, en vallée de Chevreuse !"
80,https://www.kisskissbankbank.com/en/projects/le-paris-confine-byfredblanc,Le Pari(s) confiné : le livre,Successful,166,"€8,310","Out of €5,000",12/25/2020,89,"Health and Handicap,Indie,French manufacturing",jpg,11,10.0,3500.0,17,19,91,https://www.kisskissbankbank.com/en/users/byfb,fr,"Plus qu’un ouvrage, une aventure commune"
81,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,"Cassava, table & boulangerie artisanale engagée",Successful,106,"€4,225","Out of €4,000",01/12/2021,42,"Organic,Locavore,Local Development",png,8,10.0,400.0,1,16,46,https://www.kisskissbankbank.com/en/users/valerie-lucas-399ca103-b417-455e-aa2f-a510af01e378,fr,Participez à la naissance de Cassava à la Réunion! Le mariage d'une boulangerie artisanale au levain et d'une table éco-responsable
82,https://www.kisskissbankbank.com/en/projects/ibiza-horse-valley,IBIZA HORSE VALLEY,Successful,104,"€20,880","Out of €20,000",01/12/2021,175,Animal Welfare,png,4,10.0,500.0,6,71,190,https://www.kisskissbankbank.com/en/users/jean-patrick-capdevielle,fr,"Sauvons ensemble ""Ibiza Horse Valley"", le sanctuaire des chevaux libres"
83,https://www.kisskissbankbank.com/en/projects/ob2,ENREGISTREMENT DE L'ALBUM OB2 GREGORY OTT ET VINCENT BIDAL,Successful,108,"€10,750","Out of €10,000",01/12/2021,211,Indie,jpg,7,10.0,500.0,0,53,222,https://www.kisskissbankbank.com/en/users/vincent-bidal,fi,Soutenez le projet sur KissKissBankBank !
84,https://www.kisskissbankbank.com/en/projects/playschool-l-album-la-garderie,Playschool l'album : LA GARDERIE,Successful,120,"€3,595","Out of €3,000",01/12/2021,95,Indie,jpg,7,10.0,1000.0,4,22,98,https://www.kisskissbankbank.com/en/users/emmanuel-olsson,fr,"Collectif d’artistes, Playschool a besoin de vous pour financer la sortie de l'album ""La garderie"" et produire un beau clip."
85,https://www.kisskissbankbank.com/en/projects/sick16,S!CK soutient l'indépendance avec le double-numéro Gremlins,Successful,876,876 pre-orders,Out of 100,01/12/2021,312,"French manufacturing,Independent media",gif,12,14.0,225.0,10,41,325,https://www.kisskissbankbank.com/en/users/yoan-villars,fr,"164 pages, 2 couvertures et 0 publicité !"
86,https://www.kisskissbankbank.com/en/projects/teaserlappat,"TEASER Long-métrage ""L'APPÂT""",Successful,169,"€3,642","Out of €2,160",01/11/2021,62,"Anti racism,International solidarity,Independent media",jpg,5,5.0,80.0,0,11,64,https://www.kisskissbankbank.com/en/users/teaser-appat,en,"SOUTENEZ LE TOURNAGE DU TEASER DU LONG-MÉTRAGE ""L'APPÂT""."
87,https://www.kisskissbankbank.com/en/projects/en-immersion-engagee,En immersion Engagée,Successful,682,"€13,639","Out of €2,000",01/10/2021,72,"Local Development,Indie,French manufacturing",png,7,20.0,500.0,1,14,74,https://www.kisskissbankbank.com/en/users/loic-sanchez,fr,"Pré-réservez aujourd’hui votre prochaine micro-immersion en terre méconnue, aidez immédiatement un habitant."
88,https://www.kisskissbankbank.com/en/projects/route-64-le-magazine-du-jeu-d-echecs-hors-des-cases,"Route 64, la revue francophone du jeu d'échecs pour aller hors des cases",Successful,203,406 pre-orders,Out of 200,01/10/2021,172,Independent media,jpg,7,25.0,5000.0,26,34,177,https://www.kisskissbankbank.com/en/users/fabrice-hodecent,fr,"Soutenez la création de Route 64, le nouveau média francophone (128 pages) du jeu d'échecs qui veut voyager hors des cases !"
89,https://www.kisskissbankbank.com/en/projects/caremitou,"Caremitou®, maison de santé connectée qui prend soin de mon chat de chez moi !",Successful,108,27 pre-orders,Out of 25,01/10/2021,16,"Animal Welfare,Recycling,French manufacturing",gif,8,5.0,710.0,1,2,19,https://www.kisskissbankbank.com/en/users/philippe-daurenjou-4abc64ff-11d0-41d3-9bba-5a962260608e,fr,"Un bac à litière connecté, esthétique et performant qui dépiste très tôt et à mon domicile les risques de maladies de mon animal. 

"
